Epoch,Train_Loss,Val_Loss,R2,Pearson
1,6.264115298166871,1.9694718793034554,-0.11162853240966797,0.8752249736894269
2,1.945707363076508,1.938700094819069,-0.07854974269866943,0.8715962609368633
3,1.8018870074301958,1.897263117134571,-0.0709872841835022,0.8819609037440579
4,1.733957369811833,1.8647129386663437,-0.04853695631027222,0.8810341522840504
5,1.7129806503653526,1.9676923304796219,-0.09757715463638306,0.8828423322245202
6,1.6839506411924958,1.792132057249546,-0.004208773374557495,0.8853643519501855
7,1.7212172951549292,1.679671972990036,0.07230454683303833,0.8914950010733304
8,1.6128768986091018,1.6829427853226662,0.05934625864028931,0.8863650470805551
9,1.5962240379303694,1.6810253486037254,0.07904273271560669,0.8945376279350733
10,1.5228076297789812,1.5355978533625603,0.14826273918151855,0.8956313023950285
11,1.5027451189234853,1.539582271128893,0.1498125195503235,0.8993588814516745
12,1.500094453804195,1.6695006862282753,0.07374319434165955,0.8946403078287056
13,1.4829664370045066,1.5881179347634315,0.11824062466621399,0.9001463258193934
14,1.4439600137993693,1.5375446826219559,0.13369134068489075,0.9043258997814903
15,1.3922443985939026,1.3780558928847313,0.23506498336791992,0.9066982613405907
16,1.3775151697918773,1.4655406102538109,0.1897677183151245,0.9094682852295924
17,1.3193229613825679,1.4479952603578568,0.18997642397880554,0.9079602436342802
18,1.2402918888255954,1.30277618765831,0.27428317070007324,0.9152608685676131
19,1.2446108413860202,1.3402052633464336,0.25816816091537476,0.9171894021809333
20,1.2273140596225858,1.4352699592709541,0.1845972239971161,0.9130265363909507
21,1.1692173834890127,1.1878129616379738,0.3406745195388794,0.922260961374018
22,1.050237967632711,1.2438548877835274,0.3052922189235687,0.9220597990993272
23,1.0765976654365659,1.3636307641863823,0.2409253716468811,0.930012550848224
24,1.0334157468751073,1.2424109913408756,0.30623874068260193,0.9235115687197926
25,0.9958098335191607,1.0163803771138191,0.43503352999687195,0.9331884539330625
26,0.9327712263911963,1.0097808092832565,0.4372375011444092,0.9361281147098595
27,0.8433848298154771,0.9208351038396358,0.48319390416145325,0.9405183816911173
