Epoch,Train_Loss,Val_Loss,R2,Pearson
1,139893.13297128677,12706.505249023438,-6941.849609375,-0.7808790968007753
2,4249.828190803528,808.724723815918,-443.0167236328125,-0.7660990397154803
3,718.306952059269,379.0372486114502,-209.20425415039062,-0.7726799723873454
4,240.42563284933567,78.38887596130371,-44.074317932128906,0.8520414791068129
5,47.52279683947563,31.822619795799255,-16.27578353881836,0.8574096563112787
6,10.383649189025164,2.5159079283475876,-0.4318106174468994,0.8585268371023926
7,2.777796732261777,2.513669580221176,-0.4253130555152893,0.8712114494854828
8,2.4579216074198484,1.8797596395015717,-0.08418670296669006,0.8802908721538141
9,2.3350126072764397,1.8931143805384636,-0.0893394947052002,0.883503110478115
10,2.188713515177369,2.1777990385890007,-0.2656715512275696,0.8829829895356746
11,1.9762249765917659,1.6779815629124641,0.038952261209487915,0.8871555992719377
12,1.8429317185655236,2.015648737549782,-0.14943647384643555,0.8875327973978577
13,1.9002392571419477,2.2143363133072853,-0.2704978585243225,0.890309435735647
14,1.93584418669343,2.204612113535404,-0.24590879678726196,0.8916037386495342
15,1.7435011332854629,1.6858973056077957,0.032415032386779785,0.896004805707009
16,1.7733687702566385,1.5473710298538208,0.1192634105682373,0.8960858287100212
17,1.6792086903005838,1.4590058326721191,0.16944950819015503,0.9008285107817613
18,1.684429882094264,1.5846459418535233,0.0955764651298523,0.8989590524995337
19,1.6973057398572564,1.5150045454502106,0.13906899094581604,0.9019084456695674
20,1.667573464103043,1.4910387694835663,0.15194237232208252,0.9028139888829769
21,1.712424697354436,1.5216761827468872,0.13346543908119202,0.900631076082747
22,1.6213987488299608,1.5222747400403023,0.1377989649772644,0.9018782304879466
23,1.6567412577569485,1.6535305306315422,0.06069245934486389,0.9019430541792774
24,1.6573923993855715,1.4173819832503796,0.19400480389595032,0.9043860215562427
25,1.631145971827209,1.470366396009922,0.1649937629699707,0.9037080783603593
26,1.5365348560735583,1.388741709291935,0.21062511205673218,0.9063319613052767
27,1.5189790455624461,1.4993870481848717,0.15222924947738647,0.8973275507453138
28,1.5623379815369844,1.4071420468389988,0.19626769423484802,0.909190966273635
29,1.57357198279351,1.4249164275825024,0.19010519981384277,0.9054359401618854
30,1.4777201926335692,1.794732078909874,-0.007803380489349365,0.9077028385607084
31,1.5143448263406754,1.4022347703576088,0.2026594877243042,0.90484333740309
32,1.4953411323949695,1.4034504257142544,0.1998986303806305,0.9062713573104914
33,1.5224224422127008,1.3897818252444267,0.20760023593902588,0.9066385545700789
34,1.4928613845258951,1.505341075360775,0.14757594466209412,0.8982959828679424
35,1.4437097003683448,1.4526202976703644,0.1711697280406952,0.9053107980718481
36,1.4526188531890512,1.3733454644680023,0.21644377708435059,0.9106155013135419
37,1.4490999896079302,1.330969426780939,0.24186617136001587,0.9107778459938523
38,1.4355449443683028,1.3420994952321053,0.23676815629005432,0.913618565840141
39,1.4263906367123127,1.2854338996112347,0.2683819830417633,0.9128118985715594
40,1.3933285241946578,1.3472601547837257,0.23372948169708252,0.9128179340112447
41,1.3957570744678378,1.2873378545045853,0.2659465968608856,0.9152909438458785
42,1.340779835358262,1.355846244841814,0.22973668575286865,0.9132402609786203
43,1.344625459983945,1.2992405742406845,0.26046982407569885,0.9161851986929855
44,1.3228971166536212,1.23456159979105,0.2977236807346344,0.9164189730446284
45,1.2863130448386073,1.2458349764347076,0.2910304665565491,0.9164527876389095
46,1.3202553372830153,1.2651280499994755,0.27938681840896606,0.9150026179710108
47,1.2747413767501712,1.2961215898394585,0.26452475786209106,0.9158221923685985
48,1.2562190918251872,1.3178468868136406,0.2517857551574707,0.9150784671349363
49,1.2804590361192822,1.1819512955844402,0.3266923129558563,0.9210602766107305
50,1.248795697465539,1.3284178636968136,0.24383023381233215,0.9151682005224764
51,1.2583851143717766,1.1925788037478924,0.31999897956848145,0.9204162302017229
52,1.2218773737549782,1.2170589752495289,0.3069601356983185,0.9190642455318356
53,1.2245199009776115,1.3236721232533455,0.24636325240135193,0.9158975001483517
